epoch,class_id,action,op,field,before,after,reason,guard_triggered
5,,shrink,,,,,,global_precision_guard
10,11,accept,sharpen_mild,prob,0.015,0.03,texture_boundary_weak,causal_probe_no_candidate_passed
10,11,accept,sharpen_mild,strength,0.02,0.04,texture_boundary_weak,causal_probe_no_candidate_passed
10,11,accept,local_contrast,prob,0.015,0.03,texture_boundary_weak,causal_probe_no_candidate_passed
10,11,accept,local_contrast,strength,0.02,0.04,texture_boundary_weak,causal_probe_no_candidate_passed
15,12,accept,sharpen_mild,prob,0.0,0.015,weak_localization,
15,12,accept,sharpen_mild,strength,0.0,0.02,weak_localization,
15,12,accept,local_contrast,prob,0.0,0.015,weak_localization,
15,12,accept,local_contrast,strength,0.0,0.02,weak_localization,
20,,shrink,,,,,,"global_map95_guard,causal_probe_no_candidate_passed"
25,,shrink,,,,,,"global_precision_guard,global_map50_guard,global_map95_guard,causal_probe_no_candidate_passed"
30,,shrink,,,,,,"global_precision_guard,causal_probe_no_candidate_passed"
35,,shrink,,,,,,"global_precision_guard,causal_probe_no_candidate_passed"
40,,freeze,,,,,,"epoch_ge_40,causal_probe_no_candidate_passed"
45,,freeze,,,,,,"epoch_ge_40,causal_probe_no_candidate_passed"
