epoch,class_id,action,op,field,before,after,reason,guard_triggered
5,,observe,,,,,,
10,12,accept,sharpen_mild,prob,0.0,0.015,texture_boundary_weak,
10,12,accept,sharpen_mild,strength,0.0,0.02,texture_boundary_weak,
10,12,accept,local_contrast,prob,0.0,0.015,texture_boundary_weak,
10,12,accept,local_contrast,strength,0.0,0.02,texture_boundary_weak,
10,6,accept,sharpen_mild,prob,0.0,0.015,texture_boundary_weak,
10,6,accept,sharpen_mild,strength,0.0,0.02,texture_boundary_weak,
10,6,accept,local_contrast,prob,0.0,0.015,texture_boundary_weak,
10,6,accept,local_contrast,strength,0.0,0.02,texture_boundary_weak,
15,,shrink,,,,,,global_precision_guard
20,,observe,,,,,,
25,,shrink,,,,,,global_precision_guard
30,,shrink,,,,,,"global_precision_guard,global_map50_guard,global_map95_guard"
35,,shrink,,,,,,global_precision_guard
40,,freeze,,,,,,epoch_ge_40
45,,freeze,,,,,,epoch_ge_40
